경찰청대분류,경찰청세분류,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
경찰청대분류,경찰청세분류,단일로,단일로,단일로,단일로,단일로,단일로,단일로,단일로,단일로,단일로,단일로,단일로,단일로,단일로,단일로,교차로,교차로,교차로,교차로,교차로,교차로,교차로,교차로,교차로,철길건널목,철길건널목,철길건널목,기타/불명,기타/불명,기타/불명
경찰청대분류,경찰청세분류,터널안,터널안,터널안,교량위,교량위,교량위,고가도로위,고가도로위,고가도로위,지하차도(도로)내,지하차도(도로)내,지하차도(도로)내,기타단일로,기타단일로,기타단일로,교차로내,교차로내,교차로내,교차로횡단보도내,교차로횡단보도내,교차로횡단보도내,교차로부근,교차로부근,교차로부근,철길건널목,철길건널목,철길건널목,기타/불명,기타/불명,기타/불명
경찰청대분류,경찰청세분류,사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명]
서울경찰청,서울방배,6,0,8,3,0,4,2,0,3,2,0,2,250,0,386,80,0,137,7,0,7,74,1,106,-,-,-,52,0,65
서울경찰청,서울수서,5,0,8,4,0,5,3,0,7,5,0,9,817,2,"1,114",325,6,491,55,0,58,207,1,285,-,-,-,117,0,161
부산경찰청,부산중부,-,-,-,1,0,9,2,0,2,-,-,-,169,1,202,89,1,119,4,0,12,92,1,134,-,-,-,10,0,12
부산경찰청,부산동부,1,0,1,2,0,5,13,0,24,28,1,34,280,2,436,111,0,172,17,0,19,76,0,96,-,-,-,7,1,8
부산경찰청,부산서부,5,1,8,2,0,8,4,0,12,21,1,22,178,2,252,130,0,188,11,0,11,82,0,132,-,-,-,7,0,10
부산경찰청,부산남부,13,0,24,17,1,30,4,0,5,11,0,11,571,7,723,327,1,443,29,1,29,220,2,275,-,-,-,66,0,87
부산경찰청,부산북부,2,0,3,4,0,7,2,0,3,22,0,30,190,1,248,105,1,144,25,0,26,67,1,109,-,-,-,30,1,34
부산경찰청,부산동래,6,0,10,3,0,3,-,-,-,23,0,33,398,5,496,228,1,312,28,0,28,115,1,150,-,-,-,21,0,24
부산경찰청,부산영도,-,-,-,6,0,9,2,0,2,30,0,40,108,1,142,68,0,99,11,0,12,34,0,49,-,-,-,40,1,54
부산경찰청,부산해운대,6,0,14,19,0,33,7,0,11,5,0,9,393,4,556,199,1,263,21,1,20,127,0,191,1,0,3,35,0,44
부산경찰청,부산부산진,15,0,37,5,0,5,17,1,33,-,-,-,656,3,878,438,3,631,53,1,58,215,1,302,-,-,-,136,1,176
부산경찰청,부산금정,12,0,23,2,0,3,2,0,2,19,0,27,282,5,372,279,4,393,24,1,29,93,1,116,-,-,-,80,0,92
부산경찰청,부산사하,2,0,2,5,0,7,-,-,-,83,1,104,407,3,534,245,2,345,25,1,25,129,0,171,-,-,-,19,0,19
부산경찰청,부산연제,-,-,-,3,0,5,-,-,-,-,-,-,411,4,512,228,0,321,30,1,30,126,0,174,-,-,-,21,0,35
부산경찰청,부산강서,1,0,1,11,2,19,1,0,1,32,0,49,276,7,413,216,5,289,19,0,19,149,2,223,-,-,-,15,0,17
부산경찰청,부산사상,4,0,5,3,0,4,3,0,4,31,3,39,233,1,284,137,1,179,19,1,21,114,3,139,-,-,-,27,1,32
부산경찰청,부산기장,4,0,7,2,0,2,4,1,6,1,0,1,146,3,210,109,2,173,20,1,19,119,1,189,-,-,-,36,1,45
부산경찰청,8지구대,10,0,27,3,0,8,-,-,-,-,-,-,336,9,666,1,0,1,-,-,-,-,-,-,-,-,-,8,0,16
대구경찰청,대구남부,1,0,6,4,0,10,7,0,18,44,0,68,292,1,408,125,0,179,23,1,27,97,0,131,-,-,-,24,0,29
대구경찰청,대구동부,-,-,-,28,0,35,5,0,7,94,1,128,624,6,894,350,0,494,81,1,94,227,0,358,-,-,-,70,0,85
대구경찰청,대구수성,2,0,7,6,0,9,4,0,7,4,0,7,"1,027",5,"1,433",405,1,600,76,0,82,326,1,514,-,-,-,163,0,245
대구경찰청,대구달서,2,0,5,1,0,2,2,0,6,49,0,63,492,2,658,355,2,526,91,1,96,216,1,315,-,-,-,166,0,235
대구경찰청,대구달성,2,0,3,2,0,3,-,-,-,-,-,-,317,5,451,207,3,317,23,0,28,119,1,161,-,-,-,139,0,187
대구경찰청,대구북부,1,0,1,11,1,18,5,0,7,4,0,5,456,3,609,237,0,324,51,2,51,138,1,182,-,-,-,48,0,56
대구경찰청,대구서부,1,0,1,-,-,-,6,0,7,5,0,5,461,4,606,237,1,355,26,0,29,178,1,286,-,-,-,35,0,42
대구경찰청,대구중부,-,-,-,1,0,2,-,-,-,1,0,1,458,3,623,135,0,199,10,0,10,68,0,121,-,-,-,41,0,60
대구경찰청,대구성서,1,0,2,2,0,5,1,0,1,2,0,2,580,5,768,238,2,365,62,1,67,179,2,255,-,-,-,125,0,155
대구경찰청,대구강북,6,0,7,25,0,37,27,0,44,138,0,235,227,7,303,255,1,392,45,0,50,130,0,203,-,-,-,28,0,31
인천경찰청,인천중부,1,0,5,28,0,41,2,0,2,38,0,51,159,5,218,138,2,227,36,3,33,145,3,208,-,-,-,26,0,34
인천경찰청,인천미추홀,2,0,2,1,0,1,12,0,25,33,0,41,512,7,639,311,6,427,34,0,39,227,1,352,-,-,-,106,0,130
인천경찰청,인천부평,1,0,2,2,0,5,3,0,3,-,-,-,212,5,277,159,0,207,23,0,23,247,4,321,-,-,-,41,1,44
인천경찰청,인천남동,3,0,3,1,0,2,4,0,5,17,2,16,284,2,371,220,0,345,29,0,32,177,0,260,-,-,-,34,0,52
인천경찰청,인천서부,5,0,8,11,0,16,7,0,13,4,0,7,577,9,770,364,5,524,61,1,65,308,0,447,-,-,-,222,2,309
인천경찰청,인천계양,1,0,1,-,-,-,1,0,1,-,-,-,259,2,346,91,2,129,21,1,22,98,1,147,-,-,-,48,0,56
인천경찰청,인천강화,-,-,-,4,0,4,-,-,-,80,3,111,32,2,47,57,4,82,2,1,1,19,0,23,-,-,-,4,0,5
인천경찰청,인천연수,1,0,1,10,0,11,16,0,21,30,0,42,173,2,222,163,0,222,39,0,44,183,3,267,-,-,-,25,0,30
인천경찰청,인천삼산,9,0,10,6,0,7,2,0,2,2,0,2,174,0,202,76,1,89,23,0,26,117,0,136,-,-,-,51,1,60
인천경찰청,인천논현,-,-,-,3,0,3,14,2,27,107,0,158,177,4,243,197,1,280,35,1,38,155,2,215,-,-,-,34,0,43
인천경찰청,11지구대,8,0,19,232,1,419,5,0,8,2,0,2,451,10,765,-,-,-,-,-,-,3,1,4,-,-,-,26,1,48
광주경찰청,광주동부,13,0,38,1,0,2,3,0,4,-,-,-,284,2,404,130,3,181,17,0,19,69,1,102,-,-,-,56,0,83
광주경찰청,광주서부,2,0,2,6,0,19,-,-,-,-,-,-,734,3,"1,134",499,5,784,64,1,72,292,2,469,-,-,-,97,0,124
광주경찰청,광주남부,2,0,8,-,-,-,-,-,-,-,-,-,273,1,378,202,0,286,18,0,18,114,1,159,-,-,-,50,1,64
광주경찰청,광주북부,2,0,2,14,0,18,19,0,40,3,1,4,918,9,"1,391",572,4,918,79,1,89,359,2,521,-,-,-,114,0,157
광주경찰청,광주광산,8,1,23,11,0,17,2,0,2,8,0,14,910,14,"1,324",617,4,"1,014",71,1,82,385,0,597,-,-,-,58,0,77
대전경찰청,대전중부,2,0,5,14,0,18,3,1,2,3,0,4,425,1,611,302,1,448,58,1,60,170,0,271,-,-,-,45,0,47
대전경찰청,대전동부,2,0,4,2,0,6,-,-,-,2,0,6,369,5,508,300,2,459,58,1,63,166,5,248,-,-,-,39,0,53
대전경찰청,대전서부,3,0,5,-,-,-,1,0,1,1,0,3,421,4,604,265,1,410,62,0,72,177,0,275,-,-,-,105,0,129
대전경찰청,대전대덕,-,-,-,18,0,33,7,1,12,1,0,1,378,3,558,260,2,344,46,1,46,155,1,238,-,-,-,34,1,43
대전경찰청,대전둔산,-,-,-,11,0,15,2,0,3,9,0,13,472,0,625,337,2,507,71,1,82,257,1,358,-,-,-,105,0,137
대전경찰청,대전유성,2,1,2,7,0,11,2,1,2,8,0,19,554,4,793,474,3,757,96,1,105,317,1,494,-,-,-,151,1,209
울산경찰청,울산중부,-,-,-,6,0,6,2,0,4,2,0,2,247,1,374,229,2,338,25,1,28,78,0,109,-,-,-,9,0,10
울산경찰청,울산남부,1,0,1,7,1,10,-,-,-,42,1,56,293,1,372,401,1,547,61,0,70,245,0,318,-,-,-,43,1,49
울산경찰청,울산동부,5,0,10,2,0,2,1,0,2,25,0,31,146,1,168,183,0,231,30,1,31,95,0,130,-,-,-,15,0,18
울산경찰청,울산울주,1,0,3,8,0,18,1,0,1,30,1,44,255,5,371,180,1,272,18,1,21,102,1,155,-,-,-,31,0,46
울산경찰청,울산북부,5,0,8,15,0,23,31,0,44,3,0,5,306,8,481,217,1,358,43,0,50,165,1,259,-,-,-,19,0,22
세종경찰청,세종북부,-,-,-,2,0,10,2,0,2,-,-,-,91,4,130,81,1,114,5,0,5,40,0,50,-,-,-,13,0,14
