경찰청대분류,경찰청세분류,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
경찰청대분류,경찰청세분류,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,차량단독,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,횡단중,횡단중,횡단중,차도통행중,차도통행중,차도통행중,길가장자리구역통행중,길가장자리구역통행중,길가장자리구역통행중,보도통행중,보도통행중,보도통행중,기타,기타,기타,정면충돌,정면충돌,정면충돌,측면충돌,측면충돌,측면충돌,추돌,추돌,추돌,기타,기타,기타,후진중충돌,후진중충돌,후진중충돌,공작물충돌,공작물충돌,공작물충돌,주/정차차량 충돌,주/정차차량 충돌,주/정차차량 충돌,도로이탈,도로이탈,도로이탈,기타,기타,기타,전도,전도,전도,전복,전복,전복,철길건널목,철길건널목,철길건널목
경찰청대분류,경찰청세분류,사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명],사고[건],사망[명],부상[명]
서울지방경찰청,서울동작,67,1,69,33,4,29,19,0,19,23,0,25,160,0,167,31,0,44,407,1,605,164,0,261,240,0,349,15,0,21,13,1,16,-,-,-,-,-,-,39,0,41,2,0,2,-,-,-,-,-,-
서울지방경찰청,서울중랑,117,4,118,18,0,19,27,0,27,25,0,25,166,2,173,47,0,68,418,1,637,191,1,319,320,1,420,27,0,35,6,0,7,1,0,1,1,0,1,27,0,28,5,0,5,-,-,-,-,-,-
서울지방경찰청,서울관악,75,5,75,41,0,42,14,0,14,23,0,24,135,2,147,48,0,84,346,1,485,151,0,239,295,1,376,33,0,43,4,0,4,-,-,-,-,-,-,34,0,39,3,0,3,-,-,-,-,-,-
서울지방경찰청,서울강남,64,0,65,19,0,19,38,0,38,35,0,35,277,2,281,27,0,43,532,2,746,461,0,706,670,3,931,57,0,76,4,0,5,-,-,-,-,-,-,24,0,28,2,0,3,-,-,-,-,-,-
서울지방경찰청,서울강서,122,3,124,26,0,27,20,1,22,30,0,31,188,5,201,34,1,50,413,0,594,257,0,397,420,2,548,35,0,49,6,1,7,-,-,-,-,-,-,32,0,37,4,1,3,-,-,-,-,-,-
서울지방경찰청,서울강동,91,1,91,15,0,15,9,0,9,27,0,27,120,2,123,41,0,57,360,1,494,149,0,257,223,1,291,17,0,21,2,2,1,-,-,-,1,0,1,19,0,25,-,-,-,-,-,-,-,-,-
서울지방경찰청,서울송파,160,2,174,58,1,60,30,0,31,59,0,63,213,1,221,70,0,92,796,1,"1,199",416,0,706,680,1,926,29,0,41,9,1,9,-,-,-,-,-,-,33,0,34,8,2,6,-,-,-,-,-,-
서울지방경찰청,서울종암,46,2,45,30,1,29,5,0,7,10,0,10,32,0,32,10,0,16,254,1,347,103,0,144,74,1,86,7,0,9,3,0,4,-,-,-,-,-,-,13,0,14,2,0,2,-,-,-,-,-,-
서울지방경찰청,서울구로,81,1,85,18,1,17,22,0,22,34,0,38,133,1,138,44,1,67,381,3,545,144,0,228,343,1,464,16,0,22,10,2,10,-,-,-,-,-,-,33,2,34,2,0,3,-,-,-,-,-,-
서울지방경찰청,서울서초,92,1,97,54,1,57,20,0,21,17,0,17,153,1,157,22,0,50,507,1,772,287,0,467,458,2,692,33,0,36,7,0,12,-,-,-,-,-,-,23,1,25,1,0,1,-,-,-,-,-,-
